model,column,search_type,r2_score,rmse,params,run
RandomForest,2,optuna,0.7089499507026636,2.797239327554335,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 12, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 51, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2
RandomForest,2,optuna,0.7076671366568412,2.8033970187548856,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 122, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",2
RandomForest,2,optuna,0.706601001288614,2.808504348468129,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 11, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 116, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",5
RandomForest,2,optuna,0.7064710208231828,2.809126385833808,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 13, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 123, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",9
SVR,2,optuna,0.5758940509148871,3.3766260698916306,"{'C': 0.1614114517571082, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.026917220073768088, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",2
SVR,2,optuna,0.5735392731246957,3.385987171394674,"{'C': 0.13501030077255144, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.08185870542538405, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0
SVR,2,optuna,0.5727975714862434,3.38893035123295,"{'C': 0.5202937911095569, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.7378203459635632, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0
SVR,2,optuna,0.5721503695199133,3.391496455918932,"{'C': 0.2279652550806778, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.8702872577703892, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",1
SVR,2,optuna,0.5716285509342423,3.393564012459317,"{'C': 0.6214238424745866, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.6967549569162362, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",3
TabNet,2,optuna,-27.223345521244955,27.54546024758353,"{'n_d': 8, 'n_a': 64, 'n_steps': 4, 'gamma': 1.9974485126014727, 'lambda_sparse': 1.1640320081376047e-05, 'momentum': 0.3890642229346246}",4
